primary_school,full_service_restaurant,hospital,large_hotel,large_office,medium_office,midrise_apartment,outpatient,supermarket,strip_mall,standalone_retail,small_office,small_hotel,secondary_school,quick_service_restaurant,warehouse
56.52768043,22.51265408,919.7836843,128.6186558,472.9338275,67.92707364,16.71939475,78.36040811,95.50530997,15.10699921,12.56968366,4.778024131,35.86194313,202.9101765,13.79134664,18.991127
58.67438684,14.71827738,907.2760098,125.031608,435.544955,61.46843137,16.1977083,73.22282711,87.463971,15.10699921,12.56968366,4.778024131,34.2527097,193.0606643,9.553574265,18.09830817
58.07955047,14.74694275,913.4942757,119.9579405,470.7483029,67.0915054,15.9045672,83.73593142,86.57475164,15.10699921,12.56968366,4.778024131,32.3743081,198.5813942,9.584170354,18.96593427
56.52720144,14.76131156,926.441959,121.8726104,436.1883324,60.81461844,15.77177131,71.25733796,86.07883555,15.10699921,12.56968366,4.778024131,32.56689176,193.3714005,9.598897664,18.0102227
58.80221922,14.90760532,998.4499972,131.4365561,483.3482894,67.24297306,17.87732716,110.4268618,92.06889279,15.10699921,12.56968366,4.778024131,34.59729476,206.4004631,9.744949682,18.91903138
58.57798823,22.62581295,1028.056322,168.3138918,495.9572561,63.64681069,22.33985176,138.1923022,91.23450652,15.10699921,12.56968366,5.053026812,42.04338184,208.4830227,13.7451962,18.03290157
65.10185083,38.60634721,1257.977269,320.6355475,735.1655719,274.7360056,27.48618455,188.8185812,143.496541,23.70960729,25.75096195,7.280760323,72.77622104,194.51805,28.23072953,24.03340033
123.3145259,42.92835045,1375.491003,384.9299035,683.3881448,229.5547552,26.71022151,210.1624403,147.1328177,23.3235906,28.1517667,6.845437714,87.16664952,358.6259334,26.31558558,38.57480616
165.5350524,41.88671847,1428.189961,316.3343962,1180.350292,234.6387003,24.19288885,217.8027006,221.7825836,33.1377203,40.32041845,12.12783003,72.92978642,444.4955411,20.70568342,55.07894565
165.5158115,34.42087283,1474.0751,277.8262352,1216.732035,205.5159107,21.25367596,230.9483853,251.5727615,49.52999719,57.81498267,12.12783003,70.25654087,444.4160572,20.73470727,67.05299452
