load,pv_cf
386.51,0
465.99,0
598.62,0.0339
1275.54,0.258
1238.78,0.4765
1190.35,0.6098
1273.56,0.6985
1244.52,0.7044
1301.79,0.5683
1316.86,0.4935
1325.11,0.4072
1344.31,0.1664
1178.36,0
899.61,0
875.18,0
664.73,0
640.32,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
261.86,0
274.86,0
298.94,0
466.02,0
449.28,0.0167
777.37,0.2372
740.57,0.4109
691.58,0.5321
691.56,0.5838
691.55,0.6282
729.6,0.6968
466.23,0.6082
474.13,0.4472
474.31,0.0697
382.28,0
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
347.41,0
330.79,0.039
310.26,0.2717
272.46,0.4699
223.57,0.5571
223.57,0.5907
223.57,0.5945
224.33,0.6838
225.09,0.5934
225.47,0.4375
273.98,0.1739
352.09,0
372.24,0
348.19,0
347.81,0
323.76,0
303.22,0
296.34,0
329.28,0
333.97,0
340.41,0
333.98,0
341.53,0
408.02,0
467.06,0
599.24,0
1275.9,0.1445
1239.1,0.3149
1190.14,0.3364
1195.82,0.3256
1140.22,0.2244
1190,0.2369
1189.92,0.1466
1189.9,0.1539
1238.81,0.1624
1117.27,0
888.67,0
864.23,0
664.93,0
651.64,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
311.7,0
324.68,0
386.13,0
466.2,0
588.53,0.0342
1283.12,0.1687
1238.97,0.1181
1190.03,0.0767
1190.07,0.1439
1140.28,0.5382
1190.03,0.6001
1189.97,0.5008
1189.97,0.4357
1238.86,0.2353
1117.27,0.0059
888.66,0
864.22,0
664.9,0
640.5,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
323.92,0
386.51,0
466.09,0
599.56,0.0171
1275.62,0.167
1238.81,0.4504
1189.9,0.5734
1191,0.679
1200.05,0.7125
1279.05,0.6828
1282.87,0.5891
1285.36,0.4273
1324.19,0.2076
1175.29,0.0183
888.5,0
864.08,0
675.9,0
640.34,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
323.92,0
386.13,0
465.92,0
588.31,0.0448
1275.58,0.182
1238.81,0.4396
1189.91,0.6236
1190.32,0.6706
1141.45,0.6994
1191.51,0.6113
1191.23,0.5161
1190.18,0.3452
1238.73,0.14
1117.13,0.0124
888.52,0
864.1,0
664.8,0
640.38,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
386.13,0
468.08,0
588.3,0.0193
1275.58,0.1546
1238.81,0.4164
1189.9,0.5823
1190.29,0.6586
1140.21,0.4343
1191.96,0.636
1225.55,0.4708
1267.93,0.3736
1312.3,0.1682
1117.1,0.0084
888.49,0
864.06,0
664.76,0
640.34,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
273.32,0
299.28,0
465.88,0
438.79,0.0301
788.36,0.2217
740.47,0.3713
702.68,0.451
691.53,0.3876
726.32,0.3798
771.7,0.3161
461.75,0.1797
479.04,0.129
523.01,0.0455
466.36,0.0041
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
261.48,0
262.24,0
274.84,0
298.91,0
348.19,0
320.92,0.0314
311.02,0.222
273.97,0.3527
223.57,0.4932
223.57,0.4968
223.57,0.4067
223.57,0.28
223.57,0.2118
223.57,0.1483
272.46,0.1059
339.92,0.0139
370.72,0
346.28,0
346.28,0
322.97,0
298.52,0
274.46,0
312.45,0
312.08,0
312.45,0
312.08,0
324.68,0
386.13,0
466.05,0
588.43,0.0105
1275.66,0.0648
1238.93,0.0958
1189.96,0.2693
1226.72,0.6009
1235.15,0.6496
1299.94,0.6528
1311.65,0.5279
1324.93,0.423
1363.51,0.2044
1199.96,0.0276
923.94,0
864.09,0
664.78,0
640.36,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.8,0
588.26,0.0025
1283.02,0.0513
1238.89,0.1086
1189.96,0.1397
1212.86,0.2122
1231.96,0.177
1304,0.1742
1309.58,0.1749
1315.09,0.1154
1354.2,0.0735
1199.62,0.0113
949.15,0
908.65,0
733.67,0
711.4,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.7,0
599.35,0.021
1275.55,0.1163
1282.04,0.1114
1266.73,0.3419
1282.25,0.1141
1237.14,0.0993
1281.66,0.2818
1269.73,0.2949
1236.44,0.2725
1238.76,0.0806
1106.9,0.0215
888.56,0
864.13,0
664.81,0
640.38,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.83,0
588.26,0.0421
1275.53,0.1845
1244.33,0.3818
1245.52,0.48
1259.2,0.4077
1213.93,0.1909
1271.3,0.3364
1282.54,0.3512
1295.04,0.2426
1341.1,0.1277
1192.42,0.0281
947.21,0
864.09,0
675.91,0
707.14,0
384.61,0
322.79,0
310.56,0
310.56,0
310.56,0
310.56,0
322.79,0
384.61,0
465.75,0
588.24,0.0096
1275.59,0.0459
1238.87,0.0803
1189.88,0.4502
1189.88,0.5823
1140.59,0.6807
1215.74,0.5255
1276.77,0.5567
1332.59,0.3597
1381.69,0.1857
1213.15,0.0212
926.83,0
864.04,0
675.87,0
684.84,0
384.61,0
322.79,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
465.74,0
428.46,0.0158
777.24,0.1118
740.53,0.1468
702.7,0.3516
691.52,0.5543
734.64,0.6452
802.75,0.6392
490.57,0.544
504.03,0.4002
549.56,0.1917
484.35,0.0219
370.72,0
346.28,0
346.28,0
321.84,0
297.39,0
272.94,0
260.72,0
260.72,0
260.72,0
260.72,0
272.94,0
297.39,0
346.28,0
309.13,0.008
309.13,0.0593
272.46,0.1665
223.57,0.279
223.57,0.5925
223.57,0.6488
223.57,0.6247
223.57,0.5386
223.57,0.427
272.46,0.214
339.92,0.0358
370.72,0
346.28,0
346.28,0
321.83,0
297.39,0
272.94,0
311.32,0
312.07,0
312.07,0
312.45,0
324.3,0
386.51,0
