original_load,net_load,pv_cf,reopt_grid_to_load,python_dispatcher,original_load_hold
7406,7129.822522,0.12705,154.33,1.17E+02,515.72
7407,7191.45288,0.0991582,42.454,5.04E+01,326.23
7408,7407.070576,0.000427563,275.598,2.74E+02,319.39
7409,7409,0,370.72,3.49E+02,370.72
7410,7410,0,346.28,3.25E+02,346.28
7411,7411,0,346.28,3.25E+02,346.28
7412,7412,0,321.83,3.22E+02,321.83
7413,7413,0,297.39,2.76E+02,297.39
7414,7414,0,272.94,2.73E+02,272.94
7415,7415,0,260.72,2.61E+02,260.72
7416,7416,0,310.56,3.11E+02,310.56
7417,7417,0,310.56,3.11E+02,310.56
7418,7418,0,310.56,3.11E+02,310.56
7419,7419,0,310.56,3.11E+02,310.56
7420,7420,0,322.79,3.01E+02,322.79
7421,7421,0,384.61,3.63E+02,384.61
7422,7422,0,684.012,6.84E+02,695.69
7423,7110.251015,0.143874,421.764,4.06E+02,782.32
7424,6711.044742,0.327981,702.716,6.69E+02,1488.89
7425,6392.148401,0.475143,292.966,2.43E+02,1476.19
7426,6252.751118,0.53973,46.4888,1.34E+01,1443.46
7427,6040.904255,0.637646,0,-1.00E+00,1441.77
7428,6105.687014,0.608304,0,1.38E+01,1387.57
7429,6318.362215,0.510927,179.64,1.26E+02,1433.14
7430,6715.766565,0.328569,489.175,4.44E+02,1424.66
7431,7033.702231,0.182769,914.23,8.78E+02,1422.22
7432,7389.515622,0.0195441,1182.68,1.14E+03,1470.45
7433,7433,0,1182.68,1.14E+03,1344.08
7434,7434,0,1090.69,1.09E+03,1090.69
7435,7435,0,1063.21,1.06E+03,1063.21
7436,7436,0,861.05,8.61E+02,861.05
7437,7437,0,834.9,8.35E+02,834.9
7438,7438,0,384.61,4.11E+02,384.61
7439,7439,0,322.79,3.49E+02,322.79
7440,7440,0,310.56,3.11E+02,310.56
7441,7441,0,310.56,3.11E+02,310.56
7442,7442,0,310.56,3.11E+02,310.56
7443,7443,0,310.56,3.11E+02,310.56
7444,7444,0,322.79,3.49E+02,322.79
7445,7445,0,384.61,4.11E+02,384.61
7446,7446,0,648.68,6.53E+02,648.68
7447,7191.119012,0.117713,439.83,4.35E+02,764.43
7448,6781.396039,0.306658,776.832,7.74E+02,1462.91
7449,6522.404452,0.426262,892.418,8.96E+02,1427.1
7450,6317.439745,0.521012,431.735,4.18E+02,1381.4
7451,6477.727089,0.447735,517.151,4.81E+02,1383.82
7452,6938.568569,0.236194,520.597,5.13E+02,1324.08
7453,6628.182537,0.379441,1182.68,1.01E+03,1377.84
7454,7005.551249,0.2063,1182.68,1.14E+03,1378.64
7455,7230.656067,0.103205,1182.68,1.14E+03,1374.5
7456,7432.23352,0.0109333,1182.68,1.14E+03,1426.09
7457,7457,0,1182.68,1.14E+03,1305.74
7458,7458,0,1051.46,1.08E+03,1051.46
7459,7459,0,1007.78,1.01E+03,1007.78
7460,7460,0,777.21,8.03E+02,777.21
7461,7461,0,739.97,7.66E+02,739.97
7462,7462,0,384.61,4.11E+02,384.61
7463,7463,0,322.79,3.49E+02,322.79
7464,7464,0,310.56,3.11E+02,310.56
7465,7465,0,310.56,3.11E+02,310.56
7466,7466,0,312.24,3.38E+02,312.24
7467,7467,0,312.66,3.39E+02,312.66
7468,7468,0,324.49,3.51E+02,324.49
7469,7469,0,386.74,4.13E+02,386.74
7470,7470,0,585.09,6.11E+02,585.09
7471,7204.663178,0.122523,668.41,6.28E+02,668.41
7472,6767.778949,0.323963,1182.68,1.14E+03,1374.13
7473,6610.174169,0.396926,1152.27,1.14E+03,1383.74
7474,6662.568613,0.373283,1001.26,9.91E+02,1353.89
7475,6727.894815,0.343691,966.797,9.80E+02,1359.05
7476,6423.025812,0.4844,958.944,9.80E+02,1309.49
7477,6534.557669,0.433552,1036.7,1.03E+03,1360.76
7478,6909.520017,0.261518,1067.94,1.08E+03,1357.8
7479,7194.612192,0.130827,1182.68,1.14E+03,1355.23
7480,7471.013244,0.00413418,1182.68,1.14E+03,1412.49
7481,7481,0,1182.68,1.14E+03,1283.34
7482,7482,0,1020.37,1.02E+03,1020.37
7483,7483,0,984.01,9.84E+02,984.01
7484,7484,0,770.68,7.71E+02,770.68
7485,7485,0,733.67,7.34E+02,733.67
7486,7486,0,384.61,3.85E+02,384.61
7487,7487,0,322.79,3.23E+02,322.79
7488,7488,0,311.4,3.11E+02,311.4
7489,7489,0,312.23,3.12E+02,312.23
7490,7490,0,312.69,3.13E+02,312.69
