load,pv_cf
599.22,0.0008
1357.67,0.0213
1297.82,0.0448
1260.28,0.1494
1303.72,0.1564
1275.41,0.1582
1345.63,0.3598
1356.77,0.2868
1373.88,0.0617
1416.71,0.0599
1284.58,0
1022.1,0
984.71,0
774.77,0
714.95,0
384.61,0
322.79,0
310.56,0
310.56,0
334.27,0
343.27,0
324.46,0
386.71,0
599.6,0
686.74,0.0056
1339.7,0.0317
1309.92,0.0519
1268.71,0.1006
1282.27,0.0949
1236.85,0.0882
1292.3,0.087
1285.97,0.0684
1272.1,0.0348
1308.4,0.0095
1187.88,0
908.51,0
864.56,0
665.33,0
641.08,0
385.27,0
324.52,0
326.96,0
358.74,0
392.73,0
377.57,0
404.74,0
413.7,0
588.82,0
451.45,0.0123
778.67,0.0658
761.08,0.1418
761.46,0.2098
754.65,0.5859
772.95,0.6297
791.48,0.1572
459.7,0.3064
459.29,0.3068
503.25,0.1319
485.48,0
370.72,0
346.28,0
367.57,0
323.93,0
366.97,0
375.06,0
386.75,0
361.53,0
384.75,0
379.62,0
406.11,0
415.38,0
477.75,0
446.19,0.0131
440.32,0.0875
389.54,0.1024
354.43,0.2107
340.08,0.1895
354.59,0.2183
341.44,0.1619
356.28,0.1284
342.67,0.0819
405.29,0.023
480.62,0
501.14,0
458.2,0
468.3,0
430.14,0
416.14,0
378.68,0
426.57,0
414.26,0
424.31,0
412.52,0
434.61,0
484.95,0
584.58,0
605.11,0.0206
1281.26,0.1434
1244.34,0.1513
1195.29,0.1726
1195.18,0.2455
1145.34,0.1111
1194.96,0.1207
1194.85,0.2197
1194.71,0.0732
1243.59,0.0169
1132.36,0
893.69,0
869.38,0
670.24,0
645.84,0
474.44,0
450.4,0
420.5,0
436.56,0
419.72,0
435.54,0
429.58,0
506.64,0
584.14,0
594.8,0.1048
1280.98,0.3589
1243.8,0.5683
1193.73,0.6661
1192.37,0.4506
1141.95,0.5079
1191.36,0.5349
1191,0.2441
1190.88,0.1166
1239.84,0.0209
1118.69,0
891.02,0
867.16,0
668.38,0
644.37,0
444.86,0
421.3,0
432.77,0
409.26,0
432.8,0
409.21,0
444.81,0
